dataset,zero_index_pair,q_geometric,side,A,B,distance_near,distance_far,count_upper_raw,count_upper,known_endpoint_excluded,fmax,G_bound
around_1e12,1000000008625/1000000008626,1.25,right,267653401351.151879,267653402223.154843,3488.01185703627209,4360.01482129534011,3412.0,3412.0,False,1.64389244139782351e-7,0.000560896101004937383
around_1e12,1000000008625/1000000008626,1.25,right,267653402223.154843,267653403313.158549,4360.01482129534011,5450.01852661917514,4261.0,4261.0,False,1.05209149772405259e-7,0.000448296187180218808
around_1e12,1000000008625/1000000008626,1.25,right,267653403313.158549,267653404675.66318,5450.01852661917514,6812.52315827396893,5323.0,5323.0,False,6.73338730181017435e-8,0.000358418206075355581
around_1e12,1000000008625/1000000008626,1.25,right,267653404675.66318,267653406378.79397,6812.52315827396893,8515.65394784246116,6649.0,6649.0,False,4.30936875194375014e-8,0.000286529928316739947
around_1e12,1000000008625/1000000008626,1.25,right,267653406378.79397,267653408507.707457,8515.65394784246116,10644.5674348030765,8308.0,8308.0,False,2.75799645118228997e-8,0.000229134345164224651
around_1e12,1000000008625/1000000008626,1.25,right,267653408507.707457,267653411168.849316,10644.5674348030765,13305.7092935038456,10381.0,10381.0,False,1.76511795912517147e-8,0.00018323689533678405
around_1e12,1000000008625/1000000008626,1.25,right,267653411168.849316,267653414495.276639,13305.7092935038456,16632.136616879807,12973.0,12973.0,False,1.12967561178882632e-8,0.000146552817117364438
around_1e12,1000000008625/1000000008626,1.25,right,267653414495.276639,267653418653.310793,16632.136616879807,20790.1707710997587,16212.0,16212.0,False,7.22992451934608757e-9,0.000117211536307638772
around_1e12,1000000008625/1000000008626,1.25,right,267653418653.310793,267653423850.853486,20790.1707710997587,25987.7134638746984,20261.0,20261.0,False,4.62715200157713653e-9,0.0000937507267039543632
around_1e12,1000000008625/1000000008626,1.25,right,267653423850.853486,267653430347.781852,25987.7134638746984,32484.641829843373,25323.0,25323.0,False,2.96137743931756387e-9,0.0000749909608958386698
around_1e12,1000000008625/1000000008626,1.25,right,267653430347.781852,267653438468.942309,32484.641829843373,40605.8022873042162,31650.0,31650.0,False,1.89528164221704918e-9,0.0000599856639761696064
